松花江路95弄    ,238,1, 49.08
民星一村    ,157,1, 42.4
宝地东花园    ,890,2, 105.81
控江路1455弄    ,315,2, 55.85
眉州路515弄    ,218,1, 35.11
海杨公寓    ,650,2, 105.52
嘉誉湾    ,1620,4, 195.02
广杭苑    ,645,3, 114.22
阳明新城    ,558,3, 89.79
眉州路515弄    ,168,1, 33.78
新凤城    ,925,3, 112.7
同济新村    ,391,2, 52.59
凤城二村    ,309,2, 53.36
明和苑    ,980,4, 116
凯兴苑    ,777,3, 121.42
保利香槟苑    ,885,3, 90.36
三门路510弄    ,233,1, 52.47
圣骊河滨苑    ,698,2, 83.31
圣骊河滨苑    ,475,1, 52.57
密云小区    ,377,1, 34.13
鞍山八村    ,365,2, 53.24
北茶园    ,227,1, 46.32
鞍山七村    ,320,2, 49.31
凤城二村    ,378,2, 67
建发璟墅    ,1820,4, 389.85
公交新村    ,275,2, 44.48
政立路830弄    ,320,2, 57.3
鞍山四村第一小区    ,243,1, 36.69
民庆家园    ,510,2, 77.86
新江湾城雍景苑    ,808,2, 102.36
市光三村    ,237,2, 47.58
双辽新村    ,172,1, 30.54
城市方园    ,324,2, 69.81
合生江湾国际公寓    ,795,2, 107.17
新凤城    ,848,2, 99.73
新江湾佳苑    ,640,2, 91.44
宁阳福邸    ,730,3, 98.96
松花公寓    ,428,2, 83
建设新苑    ,660,2, 91.77
金鹏花园    ,395,2, 61.61
鞍山五村    ,230,1, 39.08
密云小区    ,480,2, 53.71
中环和润苑    ,442,2, 66.86
锦杨苑    ,680,2, 105.15
林绿家园    ,258,1, 43.88
江升公寓    ,660,2, 77.84
文化名园    ,570,3, 92.7
宝地东花园    ,846,2, 95.49
国和一村    ,253,2, 54.14
开鲁一村    ,175,1, 41.49
城市方园    ,315,2, 69.26
东上海中心    ,408,1, 65.32
密云小区    ,430,1, 45.07
武川路245弄    ,202,1, 31.3
华润置地橡树湾    ,760,2, 85.42
密云小区    ,348,1, 28.48
中环和乐苑    ,345,1, 52.5
鞍山四村第二小区    ,550,2, 87.9
加州水郡    ,1850,4, 245
正文花园(一期)    ,660,2, 101.05
锦兰苑    ,1180,4, 146
三门路510弄    ,237,1, 51.1
恒阳花苑    ,475,2, 66.15
榆林路630号    ,268,2, 37.11
武川路99弄    ,288,2, 57.57
安居花苑    ,308,1, 60.17
延吉一村    ,255,2, 42.55
延吉七村    ,285,2, 50.08
新凤城    ,450,1, 54.64
延吉五村    ,230,1, 39.5
沧州路180弄    ,319,1, 36.11
市京一村    ,179,1, 41.87
荣丰花园    ,495,2, 78.41
保利香槟苑    ,790,3, 91
开鲁四村    ,185,1, 43.22
君裕公寓    ,650,3, 125.49
鞍山三村    ,187,1, 23.86
大连西路4弄    ,450,2, 48.5
政民花苑    ,260,1, 41.99
唐山路1280弄    ,232,1, 39.65
合生江湾国际公寓    ,820,2, 104.18
延吉四村    ,215,1, 35.58
控江二村107弄小区    ,173,1, 36.41
市光四村    ,220,1, 43.21
海鸿公寓    ,295,1, 57.43
阜新路284弄    ,260,1, 37.55
鞍山一村    ,230,1, 33.68
海上硕和城    ,1550,5, 204.63
浣纱四村    ,500,2, 79.1
城市方园    ,320,2, 68.32
城市丽园    ,728,2, 89.46
殷行一、二村    ,222,2, 54.59
黄兴绿园    ,825,3, 127.86
霍兰公寓    ,495,2, 77.59
中环和润苑    ,446,2, 68.47
文化花园香榭丽苑    ,850,3, 126.71
东田公寓    ,555,2, 104.52
市光二村    ,320,3, 68.98
文化名园    ,408,2, 61.3
华元豪庭    ,759,2, 93.32
怡佳苑    ,355,2, 65.59
延吉二村    ,318,2, 47.12
新江湾时代花园    ,498,2, 61.35
松花一村    ,205,1, 41.34
